frame,camera,player_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,confidence,class
75,broadcast,player_10,1180,542,1220,641,1200.8318,591.8326,0.8638466000556946,player
80,broadcast,player_10,1217,540,1273,643,1245.678,592.1428,0.9176710247993469,player
80,broadcast,player_10,1280,536,1314,636,1297.2178,586.26843,0.8932679891586304,player
85,broadcast,player_10,1291,535,1324,642,1308.1069,589.1378,0.88851398229599,player
90,broadcast,player_10,1346,548,1406,648,1376.3016,598.39545,0.9168521761894226,player
95,broadcast,player_10,1419,548,1454,655,1437.1421,602.02704,0.8878846168518066,player
100,broadcast,player_10,1444,559,1488,672,1466.7104,616.02356,0.9143729209899902,player
105,broadcast,player_10,1476,578,1514,684,1495.9603,631.3493,0.8984472751617432,player
110,broadcast,player_10,1494,579,1539,693,1516.8995,636.6339,0.9090408682823181,player
115,broadcast,player_10,1504,591,1559,703,1532.0724,647.2583,0.903893768787384,player
120,broadcast,player_10,1518,533,1566,621,1542.5116,577.31635,0.8983400464057922,player
120,broadcast,player_10,1514,590,1553,708,1534.1655,649.7612,0.879253625869751,player
125,broadcast,player_10,1507,597,1555,715,1531.7223,656.28534,0.9113063812255859,player
15,broadcast,player_11,1811,594,1860,704,1835.9607,649.2634,0.8491063117980957,referee
20,broadcast,player_11,1850,594,1890,703,1870.207,648.6961,0.8014616966247559,referee
25,broadcast,player_11,1873,588,1920,695,1896.9897,642.09106,0.749657154083252,referee
30,broadcast,player_11,1899,584,1920,685,1909.9485,635.2671,0.7490911483764648,referee
30,broadcast,player_12,292,510,329,612,311.1034,561.5948,0.7927169799804688,goalkeeper
35,broadcast,player_12,346,510,383,610,364.9628,560.27527,0.5735313296318054,goalkeeper
40,broadcast,player_12,400,519,440,615,420.16223,567.27747,0.8876427412033081,goalkeeper
45,broadcast,player_12,453,526,495,617,474.60748,572.3289,0.8276165723800659,goalkeeper
50,broadcast,player_12,506,533,548,622,527.5051,578.1854,0.6084741353988647,goalkeeper
55,broadcast,player_12,555,535,598,625,577.1467,580.2632,0.8310051560401917,goalkeeper
35,broadcast,player_13,1520,396,1555,463,1538.0349,429.67557,0.7408815026283264,referee
40,broadcast,player_13,1544,398,1571,468,1557.8536,433.59384,0.7534716129302979,referee
45,broadcast,player_13,1567,400,1597,468,1582.9541,434.60294,0.7668501138687134,referee
55,broadcast,player_14,1603,412,1645,478,1624.6044,445.81924,0.8407617807388306,referee
60,broadcast,player_14,1631,413,1667,484,1649.3112,449.1667,0.8750113844871521,referee
65,broadcast,player_14,1651,417,1690,489,1670.7664,453.38104,0.8041344881057739,referee
70,broadcast,player_14,1668,415,1714,490,1691.9088,453.11517,0.8248766660690308,referee
